edad;estado_civil;educacion;default;Blance_cuenta;Casa_propiedad;Prestamo;Dia_ultimo_contacto;Mes_ultimo_contacto;Duracion_ultimo_contacto;ID_campanna;Dias_campanna_ant;previous;Resultado_campanna_ant;Churn
33;casado;Universidad;0;882;0;0;21;oct;39;1;151;3;fallido;1
42;soltero;secundaria;0;-247;1;1;21;oct;519;1;166;1;NA;0
33;casado;secundaria;0;3444;1;0;21;oct;144;1;91;4;fallido;0
36;casado;Universidad;0;2415;1;0;22;oct;73;1;86;4;NA;1
36;casado;Universidad;0;0;1;0;23;oct;140;1;143;3;fallido;0
56;casado;secundaria;0;589;1;0;23;oct;518;1;147;2;positivo;0
44;casado;secundaria;0;1324;1;0;25;oct;119;1;89;2;NA;1
26;soltero;Universidad;0;172;0;1;4;nov;21;1;140;4;NA;1
51;soltero;secundaria;0;3132;0;0;5;nov;449;1;176;1;fallido;1
34;casado;Universidad;0;1770;1;0;6;nov;26;1;101;11;NA;1
33;divorciado;secundaria;0;1005;1;0;10;nov;175;1;174;2;fallido;1
34;casado;Universidad;0;899;1;0;12;nov;114;1;170;3;fallido;0
30;casado;secundaria;0;873;1;0;12;nov;119;1;167;3;positivo;1
30;soltero;Universidad;0;1243;1;0;13;nov;86;1;174;1;fallido;1
44;casado;Universidad;0;1631;1;0;17;nov;81;1;195;2;fallido;1
51;divorciado;Universidad;0;119;0;0;17;nov;200;1;165;2;fallido;1
51;casado;secundaria;0;58;1;0;17;nov;79;1;129;2;fallido;1
44;casado;Universidad;0;6203;1;1;17;nov;58;1;188;1;fallido;1
34;soltero;secundaria;0;105;1;0;17;nov;303;1;196;2;fallido;1
49;casado;Universidad;0;1533;0;0;17;nov;324;1;172;1;fallido;1
47;casado;Universidad;0;228;1;0;17;nov;80;1;118;1;fallido;1
40;soltero;secundaria;0;1623;1;0;17;nov;161;1;167;2;fallido;1
47;casado;secundaria;0;1484;0;0;17;nov;297;1;119;3;fallido;1
38;casado;Universidad;0;494;0;0;17;nov;146;1;104;2;NA;1
54;soltero;secundaria;0;198;1;1;17;nov;120;1;171;2;fallido;1
52;casado;Universidad;0;1701;1;1;17;nov;381;1;117;2;NA;1
48;divorciado;secundaria;0;295;1;0;17;nov;123;1;164;2;positivo;1
45;casado;secundaria;0;1477;1;0;17;nov;75;1;132;1;fallido;1
39;casado;secundaria;0;401;1;0;17;nov;396;1;129;2;fallido;1
39;casado;primaria;0;3324;0;0;17;nov;96;1;131;1;fallido;1
37;casado;Universidad;1;0;0;0;17;nov;44;1;123;2;fallido;1
49;casado;Universidad;0;64;0;0;17;nov;208;1;159;1;positivo;1
58;casado;NA;0;0;1;0;17;nov;219;1;186;2;fallido;1
43;casado;secundaria;0;1865;1;0;17;nov;155;1;186;1;fallido;1
35;divorciado;Universidad;0;1718;1;1;17;nov;74;1;167;16;NA;1
50;casado;secundaria;0;633;0;1;17;nov;302;1;111;6;fallido;1
42;soltero;Universidad;0;35;1;1;17;nov;38;1;115;5;NA;1
56;casado;secundaria;0;2749;1;1;17;nov;38;1;172;2;fallido;1
51;casado;Universidad;0;209;0;0;17;nov;130;1;111;2;fallido;1
50;soltero;secundaria;0;246;1;0;17;nov;270;1;123;2;fallido;1
45;casado;secundaria;0;1415;1;0;17;nov;483;1;116;1;fallido;1
40;divorciado;secundaria;0;5766;1;1;17;nov;68;2;173;1;fallido;1
30;casado;Universidad;0;101;1;0;17;nov;348;1;123;1;fallido;1
39;casado;Universidad;0;500;1;0;17;nov;257;1;178;2;NA;1
36;casado;Universidad;0;5057;1;0;17;nov;70;1;166;10;fallido;1
34;casado;Universidad;0;1265;1;0;17;nov;118;1;164;3;fallido;1
48;soltero;Universidad;0;8106;0;0;17;nov;125;1;111;3;fallido;1
59;casado;Universidad;0;0;0;0;17;nov;90;2;110;2;fallido;1
53;casado;secundaria;0;1364;0;0;17;nov;508;1;115;1;fallido;1
46;soltero;Universidad;0;46;0;1;17;nov;80;1;152;1;fallido;1
52;casado;secundaria;0;5423;0;1;17;nov;93;1;115;1;fallido;1
