ID;Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;anno_nacimiento;Generación ;Ingresos anuales brutos;Provincia;Digital_encuenta_index
CLI2;M;No;24;No;Funcionario;<10años;Bajo;4;2000;Millennial;13945;Málaga;1.029
CLI3;F;Si;42;Si;Ingeniero/Técnicos;+20años;Medio;3;1982;Millennial;118107;Salamanca;1.79
CLI4;F;Si;74;Si;Ingeniero/Técnicos;+20años;Bajo;1;1950;Baby Boomer;53533;Burgos;1.326
CLI5;M;Si;74;Si;Servicios;+20años;Alto;2;1950;Baby Boomer;82273;Gerona;0.7786
CLI6;F;Si;44;Si;Otros;+20años;Alto;6;1980;Generación X;90776;Ávila;1.767
CLI7;M;Si;62;No;Artista;+20años;Medio;2;1962;Baby Boomer;54280;Orense;1.150
CLI8;M;No;35;Si;Funcionario;10-20años;Bajo;3;1989;Millennial;20885;Almería;0.916
CLI9;F;No;36;Si;Funcionario;10-20años;Bajo;3;1988;Millennial;27840;Lérida;1.56
CLI10;F;Si;67;Si;Ingeniero/Técnicos;+20años;Bajo;3;1957;Baby Boomer;93442;Segovia;1.385
CLI11;F;Si;61;Si;Artista;+20años;Medio;4;1963;Baby Boomer;96524;Castellón;1.385
CLI12;F;No;29;Si;Ingeniero/Técnicos;<10años;Bajo;3;1995;Millennial;20504;Ciudad Real;2.720
CLI13;M;No;21;No;Funcionario;<10años;Bajo;4;2003;Millennial;20827;Zamora;2.202
CLI14;F;No;21;No;Ejecutivo;<10años;Bajo;1;2003;Millennial;13798;Madrid;1.374
CLI15;M;Si;77;No;Servicios;+20años;Bajo;1;1947;Baby Boomer;45283;Soria;1.228
CLI16;F;Si;64;No;Médico;+20años;Bajo;1;1960;Baby Boomer;124152;Ciudad Real;0.7786
CLI17;F;No;45;No;Funcionario;+20años;Bajo;2;1979;Generación X;46553;Gerona;0.801
CLI18;F;No;35;No;Construcción;10-20años;Bajo;5;1989;Millennial;30513;Zaragoza;1.767
CLI19;M;No;34;No;Funcionario;10-20años;Bajo;6;1990;Millennial;31841;Jaén;1.606
CLI20;M;Si;64;Si;Otros;+20años;Medio;4;1960;Baby Boomer;67505;Almería;0.71995
CLI21;F;Si;87;Si;Artista;+20años;Alto;1;1937;Baby Boomer;114299;León;0.75905
CLI22;M;Si;54;Si;Construcción;+20años;Bajo;1;1970;Generación X;123974;Ceuta;0.6222
CLI23;F;No;20;No;Funcionario;<10años;Bajo;4;2004;Millennial;21211;Toledo;2.651
CLI24;M;Si;36;Si;Artista;10-20años;Bajo;2;1988;Millennial;24060;Las Palmas;0.916
CLI25;F;No;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;32294;Albacete;1.077
CLI26;F;;64;No;Ejecutivo;+20años;Medio;3;1960;Baby Boomer;62196;Vizcaya;876
CLI27;M;Si;62;No;Artista;+20años;Medio;3;1962;Baby Boomer;126060;Ciudad Real;1.737
CLI28;M;No;34;No;Funcionario;10-20años;Bajo;8;1990;Millennial;18106;Huelva;1.974
CLI29;M;Si;54;Si;Artista;+20años;Medio;3;1970;Generación X;32830;Ávila;0.71995
CLI30;M;No;39;Si;Artista;10-20años;Bajo;1;1985;Millennial;29902;Guadalajara;1.008
CLI31;F;No;39;No;Artista;10-20años;Bajo;4;1985;Millennial;28830;Granada;1.146
CLI32;F;Si;50;Si;Artista;+20años;Bajo;3;1974;Generación X;109666;La Rioja;1.170
CLI33;F;Si;46;No;Médico;+20años;Bajo;2;1978;Generación X;58123;Alicante;0.71995
CLI34;M;No;21;No;Funcionario;<10años;Bajo;3;2003;Millennial;16852;Lérida;1.512
CLI35;M;No;29;No;Construcción;<10años;Bajo;1;1995;Millennial;28710;Álava;2.823
CLI36;F;Si;91;No;Servicios;+20años;Alto;2;1933;Baby Boomer;82612;León;1.091
CLI37;F;No;30;Si;Funcionario;<10años;Bajo;4;1994;Millennial;21099;Badajoz;1.261
CLI38;M;No;35;No;Médico;10-20años;Bajo;1;1989;Millennial;21460;Zaragoza;1.537
CLI39;F;Si;31;No;Funcionario;<10años;Medio;5;1993;Millennial;23394;Alicante;1.054
CLI40;F;Si;31;Si;Artista;<10años;Bajo;2;1993;Millennial;22565;Sevilla;0.87
CLI41;M;Si;62;Si;Artista;+20años;Medio;2;1962;Baby Boomer;49475;Burgos;1.600
CLI42;F;No;52;Si;Artista;+20años;Bajo;1;1972;Generación X;63940;Salamanca;0.79815
CLI43;F;No;24;No;Funcionario;<10años;Bajo;2;2000;Millennial;17510;Teruel;2.996
CLI44;F;No;30;Si;Artista;<10años;Bajo;3;1994;Millennial;22608;Gerona;1.261
CLI45;F;Si;54;Si;Artista;+20años;Bajo;2;1970;Generación X;53294;Toledo;896
CLI46;M;Si;44;No;Ingeniero/Técnicos;+20años;Bajo;1;1980;Generación X;25196;Cáceres;1.629
CLI47;F;Si;87;No;Servicios;+20años;Alto;2;1937;Baby Boomer;48021;Zaragoza;1.385
CLI48;M;Si;45;Si;Artista;+20años;Medio;4;1979;Generación X;64917;Guadalajara;1.698
CLI49;F;No;32;Si;Funcionario;10-20años;Bajo;1;1992;Millennial;22818;Toledo;0.801
CLI50;M;No;21;No;Funcionario;<10años;Bajo;4;2003;Millennial;19656;Albacete;2.306
CLI51;F;No;50;Si;Ingeniero/Técnicos;+20años;Bajo;1;1974;Generación X;26612;La Rioja;1.170
CLI52;F;Si;67;No;Artista;+20años;Medio;2;1957;Baby Boomer;107377;Alicante;1.561
CLI53;F;Si;40;Si;Artista;10-20años;Medio;2;1984;Millennial;83364;Ávila;1.56
CLI54;M;Si;44;Si;Artista;+20años;Bajo;1;1980;Generación X;59461;Ávila;1.79
CLI55;F;Si;63;Si;Otros;+20años;Medio;2;1961;Baby Boomer;90571;La Coruña;974
CLI56;M;Si;84;No;Negocios/empresa;+20años;Bajo;1;1940;Baby Boomer;87489;Toledo;1.385
CLI57;M;Si;35;Si;Artista;10-20años;Medio;2;1989;Millennial;19307;Zamora;1.514
CLI58;M;No;28;Si;Funcionario;<10años;Bajo;4;1996;Millennial;27496;Huelva;2.237
CLI59;M;No;35;;Médico;10-20años;Bajo;2;1989;Millennial;20048;Madrid;0.916
CLI60;F;Si;50;Si;Artista;+20años;Medio;3;1974;Generación X;73150;Segovia;0.7395
CLI61;M;Si;79;Si;Servicios;+20años;Bajo;1;1945;Baby Boomer;77468;Segovia;1.580
CLI62;M;Si;53;Si;Artista;+20años;Medio;2;1971;Generación X;22901;Burgos;0.71995
CLI63;M;Si;61;Si;Artista;+20años;Medio;2;1963;Baby Boomer;56381;Burgos;0.5831
CLI64;M;Si;81;Si;Servicios;+20años;Alto;3;1943;Baby Boomer;31295;Pontevedra;0.8177
CLI65;M;Si;62;Si;Servicios;+20años;Alto;2;1962;Generación Silenciosa;102447;Guadalajara;1.404
CLI66;M;Si;65;Si;Servicios;+20años;Alto;2;1959;Baby Boomer;76260;Badajoz;1.502
CLI67;M;No;28;Si;Otros;<10años;Bajo;2;1996;Millennial;25833;Vizcaya;2.168
CLI68;M;Si;34;Si;Médico;10-20años;Medio;2;1990;Millennial;26168;Sevilla;0.939
CLI69;M;No;30;No;Artista;<10años;Bajo;4;1994;Millennial;27182;Guadalajara;1.583
CLI70;M;Si;63;Si;Artista;+20años;Medio;4;1961;Baby Boomer;42360;Huelva;1.033
CLI71;F;Si;43;Si;Construcción;+20años;Alto;2;1981;Millennial;86946;Salamanca;0.824
CLI72;M;Si;30;Si;Funcionario;<10años;Bajo;2;1994;Millennial;21017;Alicante;1.813
CLI73;F;Si;56;Si;Otros;+20años;Medio;2;1968;Generación X;125882;León;0.6613
CLI74;F;Si;52;No;Artista;+20años;Medio;5;1972;Generación X;47137;Burgos;0.83725
CLI75;F;No;36;No;Funcionario;10-20años;Bajo;4;1988;Millennial;22495;Ciudad Real;2.02
CLI76;M;Si;62;Si;Artista;+20años;Medio;4;1962;Baby Boomer;59420;Teruel;1.326
CLI77;F;No;36;No;Construcción;10-20años;Bajo;3;1988;Millennial;24846;Lérida;0.732
CLI78;F;No;40;Si;Médico;10-20años;Bajo;2;1984;Millennial;103438;Soria;1.721
CLI79;M;Si;56;No;Artista;+20años;Bajo;3;1968;Generación X;28702;Granada;1.170
CLI80;M;Si;50;Si;Ingeniero/Técnicos;+20años;Medio;2;1974;Generación X;72025;Alicante;0.6222
CLI81;F;No;54;Si;Servicios;+20años;Bajo;1;1970;Generación X;40072;Cádiz;1.248
CLI82;M;No;33;No;Funcionario;10-20años;Bajo;4;1991;Millennial;19080;Ceuta;1.813
CLI83;F;No;29;No;Funcionario;<10años;Bajo;3;1995;Millennial;23048;Badajoz;2.720
CLI84;M;Si;69;Si;Artista;+20años;Bajo;1;1955;Baby Boomer;47386;La Coruña;0.71995
CLI85;M;Si;39;No;Otros;10-20años;Medio;4;1985;Millennial;23456;Cáceres;1.261
CLI86;F;No;21;No;Negocios/empresa;<10años;Bajo;3;2003;Millennial;14401;La Coruña;1.754
CLI87;M;No;35;No;Funcionario;10-20años;Bajo;5;1989;Millennial;30889;Barcelona;1.905
CLI88;M;Si;57;Si;Artista;+20años;Medio;3;1967;Generación X;38323;Cáceres;857
CLI89;F;Si;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;25955;Cuenca;2.066
CLI90;F;No;46;No;Otros;+20años;Bajo;3;1978;Generación X;24287;Ciudad Real;0.8177
CLI91;M;Si;44;No;Médico;+20años;Medio;2;1980;Generación X;110264;Lérida;1.905
CLI92;M;No;43;Si;Otros;+20años;Bajo;3;1981;Millennial;40139;Guadalajara;1.882
CLI93;F;Si;52;Si;Artista;+20años;Medio;4;1972;Generación X;108973;Palencia;1.170
CLI94;F;Si;67;Si;Artista;+20años;Alto;2;1957;Baby Boomer;71322;Madrid;1.502
CLI95;M;Si;35;No;Otros;10-20años;Bajo;2;1989;Millennial;30236;Ceuta;2.043
CLI96;M;Si;61;No;Artista;+20años;Bajo;1;1963;Baby Boomer;47955;Zamora;1.424
CLI97;M;Si;64;Si;Artista;+20años;Medio;1;1960;Baby Boomer;26340;Vizcaya;0.60265
CLI98;F;No;42;Si;Artista;+20años;Bajo;1;1982;Millennial;60797;Baleares;1.836
CLI99;M;Si;69;Si;Artista;+20años;Alto;2;1955;Baby Boomer;119525;Santa Cruz de Tenerife;1.189
CLI100;M;Si;64;Si;Médico;+20años;Medio;2;1960;Baby Boomer;99774;Alicante;1.052
CLI101;M;Si;33;No;Ingeniero/Técnicos;10-20años;Medio;3;1991;Millennial;26010;Valencia;1.169
CLI102;M;Si;66;Si;Artista;+20años;Medio;4;1958;Baby Boomer;111087;Zamora;1.600
CLI103;M;Si;75;No;Ejecutivo;+20años;Alto;7;1949;Baby Boomer;28531;Ávila;1.482
CLI104;M;Si;57;No;Artista;+20años;Bajo;3;1967;Generación X;80413;Soria;1.463
CLI105;M;Si;42;No;Ejecutivo;+20años;Alto;5;1982;Millennial;96292;Huesca;1.054
CLI106;F;Si;39;Si;Funcionario;10-20años;Bajo;2;1985;Millennial;20263;La Coruña;0.962
CLI107;M;No;20;No;Médico;<10años;Bajo;2;2004;Millennial;16588;Ceuta;1.685
CLI108;M;Si;33;Si;Construcción;10-20años;Bajo;2;1991;Millennial;27655;Madrid;0.916
CLI109;M;No;95;No;Servicios;+20años;Bajo;1;1929;Baby Boomer;84497;Zamora;1.189
CLI110;F;;21;No;Funcionario;<10años;Bajo;5;2003;Millennial;23229;Melilla;2.478
CLI111;M;No;28;No;Funcionario;<10años;Bajo;3;1996;Millennial;23267;Granada;2.651
CLI112;M;Si;65;Si;Otros;+20años;Bajo;4;1959;Baby Boomer;23790;Orense;1.737
CLI113;F;No;43;Si;Artista;+20años;Bajo;1;1981;Millennial;30798;Santa Cruz de Tenerife;1.859
CLI114;F;Si;55;Si;Médico;+20años;Bajo;1;1969;Generación X;61943;Castellón;0.7004
CLI115;M;No;52;Si;Artista;+20años;Bajo;1;1972;Generación X;107048;Pontevedra;1.385
CLI116;M;Si;47;Si;Ejecutivo;+20años;Alto;3;1977;Generación X;81464;Zamora;896
CLI117;M;Si;40;No;Ejecutivo;10-20años;Medio;4;1984;Millennial;82765;Guadalajara;1.905
CLI118;M;Si;88;No;Servicios;+20años;Bajo;1;1936;Baby Boomer;98860;Zaragoza;955
CLI119;M;No;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;73875;Castellón;0.87
CLI120;M;No;30;No;Servicios;<10años;Bajo;7;1994;Millennial;24750;La Coruña;0.824
CLI121;F;Si;41;Si;Artista;10-20años;Alto;2;1983;Millennial;102142;Guipúzcoa;1.445
CLI122;M;Si;51;Si;Ejecutivo;+20años;Alto;3;1973;Generación X;88796;Vizcaya;974
CLI123;M;Si;61;No;Ejecutivo;+20años;Alto;4;1963;Baby Boomer;64910;Tarragona;1.189
CLI124;F;Si;52;No;Ingeniero/Técnicos;+20años;Medio;4;1972;Generación X;91780;Zamora;0.60265
CLI125;F;No;31;Si;Funcionario;<10años;Bajo;3;1993;Millennial;31620;Orense;0.847
CLI126;M;Si;43;No;Otros;+20años;Bajo;2;1981;Millennial;48982;Las Palmas;0.847
CLI127;F;Si;30;No;Negocios/empresa;<10años;Bajo;2;1994;Millennial;25210;Gerona;1.238
CLI128;F;Si;46;No;Ingeniero/Técnicos;+20años;Bajo;1;1978;Generación X;37207;Cádiz;1.443
CLI129;M;Si;79;Si;Artista;+20años;Medio;2;1945;Baby Boomer;76162;Teruel;0.68085
CLI130;F;Si;31;Si;Ingeniero/Técnicos;<10años;Bajo;2;1993;Millennial;26401;Navarra;1.031
CLI131;M;No;39;Si;Otros;10-20años;Bajo;5;1985;Millennial;20825;Zaragoza;1.813
CLI132;M;Si;43;Si;Ejecutivo;+20años;Alto;5;1981;Millennial;102501;Zamora;0.916
CLI133;F;Si;76;Si;Servicios;+20años;Alto;2;1948;Baby Boomer;126886;Toledo;0.7786
CLI134;M;No;20;No;Funcionario;<10años;Bajo;4;2004;Millennial;16116;Pontevedra;14.085
CLI135;M;Si;51;Si;Artista;+20años;Bajo;1;1973;Generación X;52430;Gerona;0.64175
CLI136;F;Si;55;Si;Ingeniero/Técnicos;+20años;Alto;2;1969;Generación X;123559;Valladolid;0.935
CLI137;M;No;33;No;Ejecutivo;10-20años;Bajo;5;1991;Millennial;19725;Ciudad Real;1.629
CLI138;F;No;45;No;Artista;+20años;Bajo;2;1979;Generación X;93183;Vizcaya;1.652
CLI139;F;No;43;Si;Artista;+20años;Bajo;4;1981;Millennial;44048;Guipúzcoa;1.859
